index,crop_code,Class_Names,Crop_Name,kcal_kg,Erdas_Red,Erdas_Green,Erdas_Blue,ESRI_Red,ESRI_Green,ESRI_Blue,cam_category,group_desc,commodity_desc,class_desc,util_practice_desc,unit_desc,short_desc
4,crop_4,Sorghum,SORGHUM-ALL CLASSES-GRAIN,3290,1,0.6196,0.0471,255,158,15,food,FIELD CROPS,SORGHUM,ALL CLASSES,GRAIN,BU,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU"
5,crop_5,Soybeans,SOYBEANS-ALL CLASSES,4460,0.149,0.4431,0,38,115,0,food,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"SOYBEANS - PRODUCTION, MEASURED IN BU"
222,crop_222,Squash,SQUASH-ALL CLASSES,210,1,0.4,0.4,255,102,102,food,,,,,,
221,crop_221,Strawberries,STRAWBERRIES-ALL CLASSES,301,1,0.4,0.4,255,102,102,food,,,,,,
41,crop_41,Sugarbeets,SUGARBEETS-ALL CLASSES,700,0.6588,0,0.898,169,0,230,food,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL UTILIZATION PRACTICES,TONS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS"
6,crop_6,Sunflower,SUNFLOWER-ALL CLASSES,3154,1,1,0,255,255,0,food,FIELD CROPS,SUNFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"SUNFLOWER - PRODUCTION, MEASURED IN LB"
12,crop_12,Sweet Corn,SWEET CORN-ALL CLASSES,310,0.8667,0.6471,0.0471,224,166,15,food,VEGETABLES,SWEET CORN,ALL CLASSES,SEED,LB,"SWEET CORN, SEED - PRODUCTION, MEASURED IN LB"
46,crop_46,Sweet Potatoes,SWEET POTATOES-ALL CLASSES,619,0.4431,0.149,0,115,38,0,food,,,,,,
11,crop_11,Tobacco,TOBACCO-ALL CLASSES,,0,0.6863,0.298,0,175,77,commodity,FIELD CROPS,TOBACCO,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"TOBACCO - PRODUCTION, MEASURED IN LB"
54,crop_54,Tomatoes,TOMATOES-ALL CLASSES,187,0.9529,0.6392,0.4667,245,162,122,food,,,,,,
76,crop_76,Walnuts,WALNUTS-ENGLISH,2943,0.9176,0.8392,0.6863,235,214,176,food,,,,,,
36,crop_36,Alfalfa,,,1,0.6471,0.8863,255,168,227,food,FIELD CROPS,LEGUMES,ALFALFA,SEED,LB,"LEGUMES, ALFALFA, SEED - PRODUCTION, MEASURED IN LB"
92,crop_92,Aquaculture,,,0,1,1,0,255,255,infrastructure,,,,,,
0,crop_0,Background,,,0,0,0,0,0,0,meta,,,,,,
131,crop_131,Barren,,,0.8,0.749,0.6392,204,191,163,ecosystem,,,,,,
65,crop_65,Barren,,,0.8,0.749,0.6392,204,191,163,plant,,,,,,
39,crop_39,Buckwheat,,,0.8392,0.6196,0.7373,214,157,188,food,,,,,,
38,crop_38,Camelina,,,0,0.6863,0.298,0,175,77,food,FIELD CROPS,CAMELINA,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"CAMELINA - PRODUCTION, MEASURED IN BU"
55,crop_55,Caneberries,,,1,0.4,0.4,255,102,102,food,,,,,,
51,crop_51,Chick Peas,,,0,0.6863,0.298,0,175,77,food,FIELD CROPS,CHICKPEAS,ALL CLASSES,ALL UTILIZATION PRACTICES,CWT,"CHICKPEAS - PRODUCTION, MEASURED IN CWT"
70,crop_70,Christmas Trees,,,0,0.4667,0.4667,0,120,120,commodity,,,,,,
72,crop_72,Citrus,,,1,1,0.498,255,255,128,food,,,,,,
81,crop_81,Clouds/No Data,,,0.9529,0.9529,0.9529,247,247,247,meta,,,,,,
58,crop_58,Clover/Wildflowers,,,0.9098,0.749,1,232,190,255,plant,,,,,,
237,crop_237,Dbl Crop Barley/Corn,,,1,0.8275,0,255,212,0,food,,,,,,
235,crop_235,Dbl Crop Barley/Sorghum,,,1,0.6196,0.0471,255,158,15,food,,,,,,
254,crop_254,Dbl Crop Barley/Soybeans,,,0.149,0.4431,0,38,115,0,food,,,,,,
241,crop_241,Dbl Crop Corn/Soybeans,,,1,0.8275,0,255,212,0,food,,,,,,
234,crop_234,Dbl Crop Durum Wht/Sorghum,,,1,0.6196,0.0471,255,158,15,food,,,,,,
