,State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD,crop_code,state_pixels,kcal_pixel_state
85,IL,1999,ASPARAGUS-ALL CLASSES,2.821919232,80.9388911371914,90718.4,17,106.0,9616150.4,392845.524858705,crop_207,0.0,
86,IL,2008,CABBAGE-ALL CLASSES,0.20635284384,149.736948603804,5352385.6,17,200.0,1070477120.0,1033952.12940563,crop_243,0.0,
87,IL,2017,PUMPKINS-ALL CLASSES,0.08531896428,7041.68352893565,292022529.6,17,182.0,53148100387.2,23252002.6301393,crop_229,75469.0,704237.5066212617
88,IL,2017,APPLES-ALL CLASSES,1.426649908174,687.980574666127,10158624.0,17,468.0,4754236032.0,13525419.0328362,crop_68,93.0,51120817.548387095
89,IL,2017,PEACHES-ALL CLASSES,1.60937406,404.694455685957,5470325.55,17,374.0,2045901755.7,8216154.54900315,crop_67,67.0,30535847.1
90,IN,2017,TOMATOES-ALL CLASSES,0.14616659772,3156.61675435047,208743038.4,18,187.0,39034948180.8,28474661.4203965,crop_54,3332.0,11715170.522448981
91,IN,2017,CORN-ALL CLASSES-GRAIN,0.14015085964,2104411.16956698,23775523200.0,18,3650.0,86780659680000.0,3109741423.02525,crop_1,21735024.0,3992664.5436416357
92,IN,2015,OATS-ALL CLASSES,0.21563899311,2023.47227842979,4281925.0,18,3890.0,16656688250.0,802220.076705714,crop_28,2548.0,6537161.793563579
93,IN,2004,POTATOES-ALL CLASSES,0.1344820884,1295.02225819506,50802304.0,18,578.0,29363731712.0,8366845.01666831,crop_43,14597.0,2011627.8490100706
94,IN,1999,RYE-ALL CLASSES,0.0629891504,809.388911371914,1778084.0,18,3380.0,6009923920.0,171869.919466208,crop_27,1747.0,3440139.622209502
95,IN,1984,SORGHUM-ALL CLASSES-GRAIN,0.0837757272,5261.02792391744,21464014.0,18,3290.0,70616606060.0,2573674.60287799,crop_4,10541.0,6699232.146855137
96,IN,2017,SOYBEANS-ALL CLASSES,0.35310760087,2403885.06677459,8729643780.0,18,4460.0,38934211258800.0,2876749315.89884,crop_5,23601565.0,1649645.3205031108
97,IN,2017,WHEAT-ALL CLASSES,0.17563520626,97126.6693646297,483347280.0,18,3338.0,1613413220640.0,79226283.571814,crop_22,0.0,
98,IN,2014,CUCUMBERS-ALL CLASSES,0.579214956,930.797248077701,10432627.5,18,146.0,1523163615.0,4622354.68913328,crop_50,5189.0,293537.02351127384
99,IN,2017,MELONS-CANTALOUP,0.529109856,607.041683528936,15648924.0,18,173.0,2707263852.0,7727317.60539825,crop_209,2460.0,1100513.7609756098
100,IN,2017,MELONS-WATERMELON,0.231485562,2509.10562525293,116709221.6,18,156.0,18206638569.6,25213173.4403674,crop_48,19023.0,957085.557987699
101,IN,2017,SWEET CORN-ALL CLASSES,0.573202344,1578.30837717523,15921079.2,18,310.0,4935534552.0,8516847.88247155,crop_12,0.0,
102,IN,2015,APPLES-ALL CLASSES,0.842318802044,526.102792391744,10203975.0,18,468.0,4775460300.0,7467462.59902834,crop_68,162.0,29478150.0
103,IN,2015,BLUEBERRIES-TAME,4.21159401022,254.957507082153,730151.1,18,542.0,395741896.2,2671692.17431903,crop_242,12.0,32978491.349999998
104,IN,2017,PUMPKINS-ALL CLASSES,0.4232878848,2428.16673411574,43544832.0,18,182.0,7925159424.0,17201680.9302778,crop_229,7502.0,1056406.2148760331
105,MD,2015,CUCUMBERS-ALL CLASSES,0.507063612,186.15944961554,1406135.2,24,146.0,205295739.2,619464.896515096,crop_50,523.0,392534.8741873805
106,MD,2017,SWEET CORN-ALL CLASSES,0.2910104208,2873.3306353703,40256290.0,24,310.0,12479449900.0,10933034.5105363,crop_12,0.0,
107,MD,2017,BARLEY-ALL CLASSES,0.1331961561,10926.7503035208,44676964.8,24,3530.0,157709685744.0,5553589.59588273,crop_21,3360.0,46937406.47142857
108,MD,2017,CORN-ALL CLASSES-GRAIN,0.15826024038,169971.671388102,1834982688.0,24,3650.0,6697686811200.0,271020550.035221,crop_1,2123678.0,3153814.6607913254
109,MD,1999,OATS-ALL CLASSES,0.11367550755,2023.47227842979,3701325.0,24,3890.0,14398154250.0,645663.106660143,crop_28,1656.0,8694537.59057971
110,MD,2017,POTATOES-ALL CLASSES,0.255725407278,1011.73613921489,41412949.6,24,578.0,23936684868.8,9883447.79888465,crop_43,668.0,35833360.58203593
111,MD,1999,RYE-ALL CLASSES,0.08070484895,2023.47227842979,3937186.0,24,3380.0,13307688680.0,487604.168842747,crop_27,5003.0,2659941.7709374377
112,MD,2017,SOYBEANS-ALL CLASSES,0.3380426564,200323.755564549,687055297.5,24,4460.0,3064266626850.0,216751258.819218,crop_5,1868215.0,1640210.9108694664
113,MD,1994,SWEET POTATOES-ALL CLASSES,0.33069366,121.408336705787,952543.2,24,619.0,589624240.8,447460.01471809,crop_46,163.0,3617326.6306748465
114,MD,2017,WHEAT-ALL CLASSES,0.17012364121,74868.4743019021,357475592.5,24,3338.0,1193253527765.0,56755701.2695311,crop_22,0.0,
115,MD,2001,CABBAGE-ALL CLASSES,0.374786148,97.1266693646297,1315416.8,24,200.0,263083360.0,717177.25740327,crop_243,21.0,12527779.047619049
116,MD,2015,MELONS-CANTALOUP,,202.347227842979,2721552.0,24,173.0,470828496.0,,crop_209,669.0,703779.5156950672
