SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
50,3,5,51,109,Virginia,Louisa County,37596,37757,38848,161,1091,100,352,111,465,-11,-113,-1,12,174,1208,173,1220,-1,-16,126,126,126,9.190000653,12.14019973,-2.950199073,0.313295477,31.53841133,31.85170681
50,3,5,51,111,Virginia,Lunenburg County,11936,11930,11926,-6,-4,24,103,46,207,-22,-104,0,16,17,84,17,100,-1,0,938,938,938,8.635144199,17.35412475,-8.71898055,1.341381623,7.042253521,8.383635144
50,3,5,51,113,Virginia,Madison County,13837,13837,13942,0,105,28,133,54,143,-26,-10,-1,6,27,109,26,115,0,0,184,184,184,9.575578675,10.295547,-0.719968321,0.431980993,7.847654703,8.279635696
50,3,5,51,115,Virginia,Mathews County,8533,8524,8546,-9,22,15,68,36,151,-21,-83,0,0,14,104,14,104,-2,1,55,55,55,7.967193907,17.69185706,-9.724663152,0,12.18512009,12.18512009
50,3,5,51,117,Virginia,Mecklenburg County,30319,30287,30248,-32,-39,80,269,139,565,-59,-296,0,19,33,236,33,255,-6,2,796,796,796,8.887420501,18.66688693,-9.779466424,0.627736021,7.797142149,8.42487817
50,3,5,51,119,Virginia,Middlesex County,10625,10623,10781,-2,158,21,86,42,188,-21,-102,0,3,21,260,21,263,-2,-3,349,349,349,8.035881144,17.56680994,-9.530928798,0.280321435,24.29452439,24.57484582
50,3,5,51,121,Virginia,Montgomery County,99721,99508,98473,-213,-1035,189,686,195,796,-6,-110,11,145,-224,-1075,-213,-930,6,5,9932,9932,9932,6.929957925,8.041175668,-1.111217743,1.464787025,-10.85962794,-9.394840919
50,3,5,51,125,Virginia,Nelson County,14775,14732,14790,-43,58,38,124,61,208,-23,-84,0,2,-16,141,-16,143,-4,-1,84,84,84,8.40051487,14.09118623,-5.690671364,0.135492175,9.552198361,9.687690536
50,3,5,51,127,Virginia,New Kent County,22945,23086,23897,141,811,44,214,62,239,-18,-25,0,2,158,845,158,847,1,-11,462,462,462,9.109677969,10.17389269,-1.064214716,0.085137177,35.9704574,36.05559458
50,3,5,51,131,Virginia,Northampton County,12282,12232,12085,-50,-147,20,105,53,212,-33,-107,0,4,-14,-44,-14,-40,-3,0,245,245,245,8.635933709,17.43636139,-8.800427684,0.328987951,-3.618867459,-3.289879508
