geography,geographic_area_name,total_population,agesex_male_total,agesex_female_total,agesex_male_kids,agesex_male_adults,agesex_female_kids,agesex_female_adults,agesex_kid_total,agesex_adult_total,income_total_population_determined,income_low_income,income_high_income,income_unknown_income,race_total_population_determined,race_black-african_american,race_hispanic-latino,race_white,race_other_race,race_unknown_race
0500000US01109,"Pike County, Alabama",33176,15919,17257,4086,11833,4174,13083,8260,24916,31414,12737,18677,1762,31414,11435,756,17563,1660,1762
0500000US01111,"Randolph County, Alabama",21984,10757,11227,2794,7963,2533,8694,5327,16657,21442,7992,13450,542,21442,3893,613,16169,767,542
0500000US01113,"Russell County, Alabama",58695,28352,30343,7912,20440,7538,22805,15450,43245,57811,22182,35629,884,57811,25848,3349,25718,2896,884
0500000US01115,"St. Clair County, Alabama",90412,45224,45188,11599,33625,10758,34430,22357,68055,88343,22015,66328,2069,88343,7443,2234,76154,2512,2069
0500000US01117,"Shelby County, Alabama",220780,107228,113552,28928,78300,28094,85458,57022,163758,217555,36448,181107,3225,217555,27001,12646,166952,10956,3225
0500000US01119,"Sumter County, Alabama",12482,5749,6733,1448,4301,1690,5043,3138,9344,11650,5929,5721,832,11650,8540,152,2802,156,832
0500000US01121,"Talladega County, Alabama",81850,39597,42253,9493,30104,9803,32450,19296,62554,78167,31060,47107,3683,78167,24607,1754,49294,2512,3683
0500000US01123,"Tallapoosa County, Alabama",41284,20182,21102,5139,15043,4551,16551,9690,31594,40707,14381,26326,577,40707,10988,1002,28072,645,577
0500000US01125,"Tuscaloosa County, Alabama",223945,108405,115540,29438,78967,29103,86437,58541,165404,213541,68340,145201,10404,213541,69890,8304,128608,6739,10404
0500000US01127,"Walker County, Alabama",65194,32270,32924,8461,23809,7535,25389,15996,49198,63885,23897,39988,1309,63885,3615,1707,56136,2427,1309
0500000US01129,"Washington County, Alabama",15574,8017,7557,2001,6016,1652,5905,3653,11921,15441,6229,9212,133,15441,3672,164,10044,1561,133
0500000US01131,"Wilcox County, Alabama",10686,4956,5730,1333,3623,1538,4192,2871,7815,10447,5319,5128,239,10447,7416,55,2775,201,239
0500000US01133,"Winston County, Alabama",23650,11825,11825,2770,9055,2503,9322,5273,18377,23263,9468,13795,387,23263,203,744,21693,623,387
0500000US02013,"Aleutians East Borough, Alaska",3409,2014,1395,292,1722,242,1153,534,2875,3395,1054,2341,14,3395,69,358,434,2534,14
0500000US02016,"Aleutians West Census Area, Alaska",5251,2995,2256,470,2525,319,1937,789,4462,4973,783,4190,278,4973,160,481,1015,3317,278
0500000US02020,"Anchorage Municipality, Alaska",292545,149648,142897,40311,109337,37715,105182,78026,214519,286144,56849,229295,6401,286144,15056,27150,160735,83203,6401
0500000US02050,"Bethel Census Area, Alaska",18514,9724,8790,3714,6010,3447,5343,7161,11353,18166,9497,8669,348,18166,166,381,1665,15954,348
0500000US02060,"Bristol Bay Borough, Alaska",849,480,369,88,392,79,290,167,682,825,116,709,24,825,0,103,348,374,24
0500000US02063,"Chugach Census Area, Alaska",7015,3641,3374,987,2654,874,2500,1861,5154,6912,1049,5863,103,6912,98,407,4934,1473,103
0500000US02066,"Copper River Census Area, Alaska",2635,1374,1261,268,1106,416,845,684,1951,2619,800,1819,16,2619,3,128,1518,970,16
0500000US02068,"Denali Borough, Alaska",2187,1168,1019,108,1060,155,864,263,1924,2126,714,1412,61,2126,15,7,1704,400,61
0500000US02070,"Dillingham Census Area, Alaska",4899,2533,2366,844,1689,840,1526,1684,3215,4855,2081,2774,44,4855,65,160,696,3934,44
0500000US02090,"Fairbanks North Star Borough, Alaska",97149,52667,44482,13741,38926,12406,32076,26147,71002,93048,17576,75472,4101,93048,3777,7574,64046,17651,4101
0500000US02100,"Haines Borough, Alaska",2098,1120,978,307,813,356,622,663,1435,2072,635,1437,26,2072,0,138,1669,265,26
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2327,1310,1017,138,1172,184,833,322,2005,2326,648,1678,1,2326,45,230,1032,1019,1
0500000US02110,"Juneau City and Borough, Alaska",32240,16412,15828,3764,12648,3771,12057,7535,24705,31813,4907,26906,427,31813,288,2229,19961,9335,427
0500000US02122,"Kenai Peninsula Borough, Alaska",58711,30695,28016,7407,23288,7055,20961,14462,44249,57538,14313,43225,1173,57538,312,2525,45537,9164,1173
0500000US02130,"Ketchikan Gateway Borough, Alaska",13939,7191,6748,1700,5491,1620,5128,3320,10619,13778,2824,10954,161,13778,109,778,8602,4289,161
0500000US02150,"Kodiak Island Borough, Alaska",13218,6967,6251,1882,5085,1701,4550,3583,9635,12960,2668,10292,258,12960,111,1149,6108,5592,258
0500000US02158,"Kusilvak Census Area, Alaska",8354,4545,3809,1949,2596,1727,2082,3676,4678,8274,5541,2733,80,8274,0,86,268,7920,80
0500000US02164,"Lake and Peninsula Borough, Alaska",986,450,536,136,314,152,384,288,698,974,362,612,12,974,22,1,232,719,12
0500000US02170,"Matanuska-Susitna Borough, Alaska",106807,55662,51145,16015,39647,14994,36151,31009,75798,104517,22988,81529,2290,104517,1280,5651,81872,15714,2290
0500000US02180,"Nome Census Area, Alaska",10070,5269,4801,1903,3366,1858,2943,3761,6309,9685,4372,5313,385,9685,86,196,1357,8046,385
0500000US02185,"North Slope Borough, Alaska",10865,6466,4399,1670,4796,1563,2836,3233,7632,10668,2173,8495,197,10668,91,350,3052,7175,197
0500000US02188,"Northwest Arctic Borough, Alaska",7776,4184,3592,1562,2622,1430,2162,2992,4784,7706,3313,4393,70,7706,87,197,788,6634,70
0500000US02195,"Petersburg Borough, Alaska",3368,1744,1624,359,1385,313,1311,672,2696,3355,555,2800,13,3355,34,191,2036,1094,13
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5886,3240,2646,762,2478,678,1968,1440,4446,5833,1965,3868,53,5833,16,217,2618,2982,53
0500000US02220,"Sitka City and Borough, Alaska",8518,4403,4115,1053,3350,906,3209,1959,6559,8335,1285,7050,183,8335,48,591,5116,2580,183
0500000US02230,"Skagway Municipality, Alaska",1329,667,662,93,574,127,535,220,1109,1329,190,1139,0,1329,39,50,981,259,0
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6849,3777,3072,1008,2769,1035,2037,2043,4806,6776,1892,4884,73,6776,73,481,4876,1346,73
0500000US02275,"Wrangell City and Borough, Alaska",2162,1224,938,288,936,234,704,522,1640,2141,632,1509,21,2141,2,107,1219,813,21
0500000US02282,"Yakutat City and Borough, Alaska",562,340,222,66,274,70,152,136,426,562,160,402,0,562,18,63,171,310,0
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5433,2839,2594,799,2040,838,1756,1637,3796,5381,2350,3031,52,5381,4,149,1128,4100,52
0500000US04001,"Apache County, Arizona",66473,33039,33434,9948,23091,10064,23370,20012,46461,65161,36492,28669,1312,65161,268,4254,11456,49183,1312
0500000US04003,"Cochise County, Arizona",125092,63798,61294,15446,48352,14725,46569,30171,94921,118514,39570,78944,6578,118514,3973,42600,64378,7563,6578
0500000US04005,"Coconino County, Arizona",144942,71532,73410,19452,52080,21848,51562,41300,103642,131883,46161,85722,13059,131883,1397,18373,68950,43163,13059
0500000US04007,"Gila County, Arizona",53211,26544,26667,5923,20621,5522,21145,11445,41766,52130,19351,32779,1081,52130,341,9792,32129,9868,1081
0500000US04009,"Graham County, Arizona",38145,20440,17705,5807,14633,5522,12183,11329,26816,34754,13596,21158,3391,34754,350,11242,18033,5129,3391
0500000US04011,"Greenlee County, Arizona",9542,5102,4440,1603,3499,1272,3168,2875,6667,9479,1954,7525,63,9479,183,4545,4311,440,63
0500000US04012,"La Paz County, Arizona",16845,8720,8125,1598,7122,1321,6804,2919,13926,16499,6872,9627,346,16499,98,4699,9269,2433,346
0500000US04013,"Maricopa County, Arizona",4367186,2170150,2197036,589561,1580589,563249,1633787,1152810,3214376,4308734,1115409,3193325,58452,4308734,239623,1359866,2318930,390315,58452
0500000US04015,"Mohave County, Arizona",211274,107156,104118,20216,86940,19341,84777,39557,171717,207762,72326,135436,3512,207762,1942,35533,158174,12113,3512
0500000US04017,"Navajo County, Arizona",106609,53814,52795,15973,37841,15150,37645,31123,75486,103723,48959,54764,2886,103723,737,11342,43457,48187,2886
0500000US04019,"Pima County, Arizona",1035063,511719,523344,126110,385609,121211,402133,247321,787742,1007434,317708,689726,27629,1007434,32825,384512,508857,81240,27629
0500000US04021,"Pinal County, Arizona",420625,219238,201387,53499,165739,50785,150602,104284,316341,397347,110434,286913,23278,397347,16161,120079,225474,35633,23278
0500000US04023,"Santa Cruz County, Arizona",47463,22766,24697,7026,15740,7198,17499,14224,33239,47204,21431,25773,259,47204,191,39456,6965,592,259
0500000US04025,"Yavapai County, Arizona",233789,114965,118824,22084,92881,20462,98362,42546,191243,229192,66130,163062,4597,229192,1333,34362,182394,11103,4597
0500000US04027,"Yuma County, Arizona",202944,104912,98032,29380,75532,28044,69988,57424,145520,196465,80307,116158,6479,196465,3432,128796,57772,6465,6479
0500000US05001,"Arkansas County, Arkansas",17273,8491,8782,2386,6105,1995,6787,4381,12892,16997,5403,11594,276,16997,4385,629,11659,324,276
0500000US05003,"Ashley County, Arkansas",19362,9416,9946,2495,6921,2319,7627,4814,14548,19217,8454,10763,145,19217,4807,1136,12998,276,145
0500000US05005,"Baxter County, Arkansas",41476,20294,21182,4338,15956,3800,17382,8138,33338,41023,15499,25524,453,41023,95,1061,38049,1818,453
0500000US05007,"Benton County, Arkansas",278774,139609,139165,41170,98439,38779,100386,79949,198825,275459,60486,214973,3315,275459,4796,47344,186204,37115,3315
0500000US05009,"Boone County, Arkansas",37445,18521,18924,4863,13658,4448,14476,9311,28134,36840,13186,23654,605,36840,44,1004,34442,1350,605
0500000US05011,"Bradley County, Arkansas",10597,5026,5571,1397,3629,1508,4063,2905,7692,10503,4228,6275,94,10503,2767,1686,5747,303,94
0500000US05013,"Calhoun County, Arkansas",4811,2448,2363,574,1874,508,1855,1082,3729,4687,1325,3362,124,4687,1062,215,3372,38,124
0500000US05015,"Carroll County, Arkansas",28154,14199,13955,3843,10356,3170,10785,7013,21141,27856,9558,18298,298,27856,124,4321,21236,2175,298
0500000US05017,"Chicot County, Arkansas",10405,5211,5194,1315,3896,1281,3913,2596,7809,9786,5273,4513,619,9786,5373,613,3664,136,619
0500000US05019,"Clark County, Arkansas",21569,10227,11342,2806,7421,2958,8384,5764,15805,19279,7764,11515,2290,19279,4786,937,13105,451,2290
0500000US05021,"Clay County, Arkansas",14661,7082,7579,1696,5386,1849,5730,3545,11116,14527,5807,8720,134,14527,62,113,13723,629,134
0500000US05023,"Cleburne County, Arkansas",24848,12429,12419,2708,9721,2524,9895,5232,19616,24543,8542,16001,305,24543,37,643,22929,934,305
0500000US05025,"Cleveland County, Arkansas",7632,3542,4090,801,2741,953,3137,1754,5878,7554,2634,4920,78,7554,1089,0,6367,98,78
0500000US05027,"Columbia County, Arkansas",22947,11158,11789,3087,8071,3224,8565,6311,16636,21137,8912,12225,1810,21137,7445,547,12728,417,1810
0500000US05029,"Conway County, Arkansas",20687,10264,10423,2765,7499,2446,7977,5211,15476,20565,8176,12389,122,20565,2128,870,16682,885,122
0500000US05031,"Craighead County, Arkansas",109875,53655,56220,16300,37355,15041,41179,31341,78534,106022,36897,69125,3853,106022,16570,5666,78641,5145,3853
